scope	status	symbol	expected_crc	expected_provider	actual
candidate-builtin	ok	_raw_spin_unlock_irqrestore	97fdbab9	vmlinux+__crc+__ksymtab	symvers=97fdbab9@vmlinux[line=6932];vmlinux=97fdbab9@__crc__raw_spin_unlock_irqrestore[line=38328];ksymtab=1
candidate-builtin	ok	add_timer	d9605d4c	vmlinux+__crc+__ksymtab	symvers=d9605d4c@vmlinux[line=2089];vmlinux=d9605d4c@__crc_add_timer[line=38370];ksymtab=1
candidate-builtin	ok	aed_combo_exception_api	4af93671	vmlinux+__crc+__ksymtab	symvers=4af93671@vmlinux[line=3690];vmlinux=4af93671@__crc_aed_combo_exception_api[line=38384];ksymtab=1
candidate-builtin	ok	aee_kernel_dal_api	9ba9c773	vmlinux+__crc+__ksymtab	symvers=9ba9c773@vmlinux[line=6393];vmlinux=9ba9c773@__crc_aee_kernel_dal_api[line=38389];ksymtab=1
candidate-builtin	ok	aee_kernel_warning_api	1042540f	vmlinux+__crc+__ksymtab	symvers=1042540f@vmlinux[line=329];vmlinux=1042540f@__crc_aee_kernel_warning_api[line=38392];ksymtab=1
candidate-builtin	ok	alarm_cancel	3d3e4814	vmlinux+__crc+__ksymtab	symvers=3d3e4814@vmlinux[line=6750];vmlinux=3d3e4814@__crc_alarm_cancel[line=38404];ksymtab=1
candidate-builtin	ok	alarm_init	9463cf28	vmlinux+__crc+__ksymtab	symvers=9463cf28@vmlinux[line=1646];vmlinux=9463cf28@__crc_alarm_init[line=38408];ksymtab=1
candidate-builtin	ok	alarm_start_relative	9bcbc8c0	vmlinux+__crc+__ksymtab	symvers=9bcbc8c0@vmlinux[line=4975];vmlinux=9bcbc8c0@__crc_alarm_start_relative[line=38411];ksymtab=1
candidate-builtin	ok	alloc_netdev_mqs	d2076e5e	vmlinux+__crc+__ksymtab	symvers=d2076e5e@vmlinux[line=3581];vmlinux=d2076e5e@__crc_alloc_netdev_mqs[line=38426];ksymtab=1
candidate-builtin	ok	cancel_delayed_work	416f25b6	vmlinux+__crc+__ksymtab	symvers=416f25b6@vmlinux[line=3474];vmlinux=416f25b6@__crc_cancel_delayed_work[line=38817];ksymtab=1
candidate-builtin	ok	capable	c6cbbc89	vmlinux+__crc+__ksymtab	symvers=c6cbbc89@vmlinux[line=3850];vmlinux=c6cbbc89@__crc_capable[line=38821];ksymtab=1
candidate-builtin	ok	cdev_add	203a041c	vmlinux+__crc+__ksymtab	symvers=203a041c@vmlinux[line=4477];vmlinux=203a041c@__crc_cdev_add[line=38830];ksymtab=1
candidate-builtin	ok	cdev_del	b502391b	vmlinux+__crc+__ksymtab	symvers=b502391b@vmlinux[line=6893];vmlinux=b502391b@__crc_cdev_del[line=38832];ksymtab=1
candidate-builtin	ok	cdev_init	fb1beebb	vmlinux+__crc+__ksymtab	symvers=fb1beebb@vmlinux[line=1284];vmlinux=fb1beebb@__crc_cdev_init[line=38833];ksymtab=1
